datetime,Device,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
14/07/18 16:38:51,dm-2,0.0,0.0,1476.0,0.0,11800.0,0.0,15.99,0.56,0.38,0.38,0.0,0.31,46.0
14/07/18 16:38:52,dm-2,0.0,0.0,910.0,0.0,7272.0,0.0,15.98,0.35,0.39,0.39,0.0,0.34,30.7
14/07/18 16:38:53,dm-2,0.0,0.0,810.0,0.0,6480.0,0.0,16.0,0.33,0.4,0.4,0.0,0.35,28.5
14/07/18 16:38:54,dm-2,0.0,0.0,747.0,3.0,5976.0,64.0,16.11,0.35,0.47,0.47,0.67,0.4,29.7
14/07/18 16:38:55,dm-2,0.0,0.0,2145.0,0.0,17152.0,0.0,15.99,0.81,0.38,0.38,0.0,0.28,59.7
14/07/18 16:38:56,dm-2,0.0,0.0,903.0,0.0,7224.0,0.0,16.0,0.39,0.43,0.43,0.0,0.38,33.9
14/07/18 16:38:57,dm-2,0.0,0.0,536.0,0.0,4288.0,0.0,16.0,0.25,0.47,0.47,0.0,0.43,22.8
14/07/18 16:38:58,dm-2,0.0,0.0,1709.0,0.0,13672.0,0.0,16.0,0.6,0.35,0.35,0.0,0.3,51.1
14/07/18 16:38:59,dm-2,0.0,0.0,1431.0,0.0,11440.0,0.0,15.99,0.56,0.39,0.39,0.0,0.32,45.1
14/07/18 16:39:00,dm-2,0.0,0.0,1511.0,0.0,12072.0,0.0,15.98,0.58,0.39,0.39,0.0,0.3,45.4
14/07/18 16:39:01,dm-2,0.0,0.0,1915.0,0.0,15320.0,0.0,16.0,0.73,0.38,0.38,0.0,0.28,53.4
14/07/18 16:39:02,dm-2,0.0,0.0,799.0,0.0,6392.0,0.0,16.0,0.34,0.43,0.43,0.0,0.37,29.4
14/07/18 16:39:03,dm-2,0.0,0.0,1995.0,0.0,15944.0,0.0,15.98,0.74,0.37,0.37,0.0,0.28,55.4
14/07/18 16:39:04,dm-2,0.0,0.0,937.0,0.0,7496.0,0.0,16.0,0.39,0.41,0.41,0.0,0.36,34.0
14/07/18 16:39:05,dm-2,0.0,0.0,2475.0,0.0,19800.0,0.0,16.0,0.86,0.35,0.35,0.0,0.21,52.6
14/07/18 16:39:06,dm-2,0.0,0.0,3019.0,0.0,24136.0,0.0,15.99,1.09,0.36,0.36,0.0,0.25,76.7
14/07/18 16:39:07,dm-2,0.0,0.0,2789.0,0.0,22296.0,0.0,15.99,1.04,0.37,0.37,0.0,0.22,61.3
14/07/18 16:39:08,dm-2,0.0,0.0,2806.0,0.0,22440.0,0.0,15.99,0.98,0.35,0.35,0.0,0.22,60.6
14/07/18 16:39:09,dm-2,0.0,0.0,2950.0,0.0,23600.0,0.0,16.0,1.05,0.36,0.36,0.0,0.24,70.5
14/07/18 16:39:10,dm-2,0.0,0.0,1265.0,0.0,10120.0,0.0,16.0,0.52,0.41,0.41,0.0,0.32,40.5
