datetime,Glorefs,RemGrefs,GRratio,PhyRds,Rdratio,Gloupds,RemGupds,Rourefs,RemRrefs,RouLaS,RemRLaS,PhyWrs,WDQsz,WDtmpq,WDphase,WIJwri,RouCMs,Jrnwrts,ActECP,Addblk,PrgBufL,PrgSrvR,BytSnt,BytRcd,WDpass,IJUcnt,IJULock,PPGrefs,PPGupds
07/14/2018 16:38:49,1076967,0,0,722,1164.86,68592,0,412611,0,19,0,0,2518,41360,0,0,99,5,0,0,0,0,0,0,290,0,0,76336,33326
07/14/2018 16:38:50,992815,0,0,1265,485.02,91075,0,474247,0,19,0,0,2550,41466,0,0,118,6,0,0,0,0,0,0,290,0,0,112344,54452
07/14/2018 16:38:51,1186452,0,0,1490,490.67,73829,0,425532,0,38,0,0,2593,41579,0,0,84,5,0,0,0,0,0,0,290,1,0,88423,40012
07/14/2018 16:38:52,1528486,0,0,905,906.56,111791,0,536189,0,21,0,0,2628,41750,0,0,116,7,0,0,0,0,0,0,290,0,0,162364,72101
07/14/2018 16:38:53,1258070,0,0,762,951.46,83106,0,493093,0,9,0,0,2713,41779,0,0,41,6,0,0,0,0,0,0,290,0,0,136681,47157
07/14/2018 16:38:54,1074395,0,0,966,584.51,86919,0,404100,0,19,0,0,2742,41871,0,0,29,5,0,0,0,0,0,0,290,0,0,110907,52522
07/14/2018 16:38:55,1095414,0,0,1969,339.21,60285,0,430440,0,0,0,0,2758,41986,0,0,75,3,0,0,0,0,0,0,290,0,0,71165,29565
07/14/2018 16:38:56,1519109,0,0,882,771.03,110097,0,440925,0,19,0,0,2785,42123,0,0,69,6,0,0,0,0,0,0,290,0,0,158360,74557
07/14/2018 16:38:57,1308481,0,0,547,1464.49,87402,0,398245,0,0,0,0,2801,42185,0,0,60,3,0,0,0,0,0,0,290,0,0,165578,52358
07/14/2018 16:38:58,859856,0,0,1769,353.44,84446,0,395483,0,46,0,0,2949,42316,0,0,119,7,0,0,0,0,0,0,290,0,0,99184,44182
07/14/2018 16:38:59,1025362,0,0,1418,442.82,84323,0,478390,0,18,0,0,2993,42408,0,0,66,4,0,0,0,0,0,0,290,0,0,105389,47294
07/14/2018 16:39:00,1435603,0,0,1716,502.13,81302,0,483965,0,0,0,0,3049,42528,0,0,68,6,0,0,0,0,0,0,290,0,0,97596,40898
07/14/2018 16:39:01,1107657,0,0,1595,463.68,81267,0,497688,0,18,0,0,3138,42663,0,0,114,6,0,0,0,0,0,0,290,0,0,114279,43117
07/14/2018 16:39:02,1080496,0,0,822,893.91,102348,0,401098,0,0,0,0,3156,42755,0,0,72,6,0,0,0,0,0,0,290,0,0,175094,70366
07/14/2018 16:39:03,1201015,0,0,2073,324.53,74116,0,408909,0,0,0,0,3180,42890,0,0,109,4,0,0,0,0,0,0,290,0,0,91347,41069
07/14/2018 16:39:04,879614,0,0,940,620.73,78970,0,391512,0,0,0,0,3192,42976,0,0,51,5,0,0,0,0,0,0,290,0,0,85760,42356
07/14/2018 16:39:05,1304088,0,0,2572,284.93,109168,0,316126,0,0,0,0,3213,43102,0,0,72,4,0,0,0,0,0,0,290,0,0,219027,79286
07/14/2018 16:39:06,1321584,0,0,3059,249.15,78031,0,497269,0,0,0,0,3237,43190,0,0,65,5,0,0,0,0,0,0,290,0,0,101829,41062
07/14/2018 16:39:07,1350981,0,0,3284,226.78,84312,0,452699,0,0,0,0,3259,43324,0,0,91,5,0,0,0,0,0,0,290,0,0,103736,48836
07/14/2018 16:39:08,946344,0,0,2304,271.09,75232,0,429323,0,18,0,0,3345,43458,0,0,76,6,0,0,0,0,0,0,290,0,0,85730,36127
07/14/2018 16:39:09,1632821,0,0,2912,260.26,112071,0,394784,0,0,0,0,3366,43544,0,0,86,6,0,0,0,0,0,0,290,0,0,187840,75944
07/14/2018 16:39:10,1331048,0,0,1133,749.06,97679,0,495519,0,19,0,0,3396,43671,0,0,77,6,0,0,0,0,0,0,290,0,0,165322,59481
07/14/2018 16:39:11,851885,0,0,720,773.91,78373,0,362315,0,0,0,0,3413,43772,0,0,56,4,0,0,0,0,0,0,290,0,0,102217,47639
07/14/2018 16:39:12,1111132,0,0,584,1308.85,99151,0,433706,0,0,0,0,3433,43852,0,0,59,5,0,0,0,0,0,0,290,0,0,160820,61786
07/14/2018 16:39:13,1210227,0,0,619,1163,78025,0,411940,0,0,0,0,3455,43992,0,0,76,5,0,0,0,0,0,0,290,0,0,92375,44074
07/14/2018 16:39:14,1584058,0,0,1337,666.21,127677,0,509868,0,27,0,0,3603,44129,0,0,68,5,0,0,0,0,0,0,290,0,0,193004,83757
07/14/2018 16:39:15,1149727,0,0,1343,571.34,75889,0,477004,0,46,0,0,3760,44228,0,0,140,7,0,0,0,0,0,0,290,0,0,81891,34252
07/14/2018 16:39:16,1845366,0,0,1213,715.7,124066,0,446307,0,0,0,0,3782,44344,0,0,84,5,0,0,0,0,0,0,290,0,0,240127,91619
07/14/2018 16:39:17,855032,0,0,784,659.83,90436,0,358102,0,0,0,0,3803,44425,0,0,93,6,0,0,0,0,0,0,290,0,0,117386,53567
07/14/2018 16:39:18,859112,0,0,766,841.54,71371,0,395307,0,19,0,0,3830,44555,0,0,64,4,0,0,0,0,0,0,290,0,0,90498,36761
07/14/2018 16:39:19,1105529,0,0,1003,611.31,104305,0,378447,0,18,0,0,3928,44645,0,0,65,6,0,0,0,0,0,0,290,0,0,168877,68111
07/14/2018 16:39:20,1125353,0,0,600,1288.07,82887,0,470504,0,18,0,0,3993,44737,0,0,102,5,0,0,0,0,0,0,290,0,0,115171,48500
07/14/2018 16:39:21,971254,0,0,552,1266.63,69933,0,432317,0,0,0,0,4012,44834,0,0,36,4,0,0,0,0,0,0,290,0,0,91642,37797
07/14/2018 16:39:22,1199840,0,0,1245,571.74,92156,0,379676,0,0,0,0,4024,44938,0,0,77,4,0,0,0,0,0,0,290,0,0,153173,60534
07/14/2018 16:39:23,1217883,0,0,2198,342.6,74319,0,466140,0,0,0,0,4047,45048,0,0,76,4,0,0,0,0,0,0,290,0,0,96035,40974
07/14/2018 16:39:24,1523667,0,0,3329,230.01,77596,0,520620,0,0,0,0,4070,45193,0,0,89,5,0,0,0,0,0,0,290,0,0,96369,41497
07/14/2018 16:39:25,1170308,0,0,1248,608.59,113230,0,516211,0,19,0,0,4101,45353,0,0,122,7,0,0,0,0,0,0,290,0,0,138621,63254
07/14/2018 16:39:26,914810,0,0,1077,575.66,67763,0,420472,0,18,0,0,4148,45472,0,0,54,4,0,0,0,0,0,0,290,0,0,97401,36342
07/14/2018 16:39:27,1261235,0,0,1748,464.47,130589,0,382317,0,0,0,4193,239,45559,0,139,75,5,0,0,0,0,0,0,291,0,0,231869,96535
